name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Tupersa / Delegación Vigo,"Travesía, Rúa de Manuel Costas Bastos, 67, Nave 5, 36317 Vigo, Pontevedra, Spain",Spain,687 49 32 56,http://www.tupersa.com/,https://maps.google.com/?cid=17267084181521250007,,,,
MHG GALICIA,"R. México, 64, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 07 86 80,,https://maps.google.com/?cid=11115458735146309668,,,,
SMART KNITWEAR MANAGEMENT S. L.,"Cánovas del Castillo Nº 10 2ª Planta Oficina 15, 36202 Vigo, Pontevedra, Spain",Spain,986 11 37 51,http://smart-km.com/,https://maps.google.com/?cid=8109778380794974295,"Smart Knitwear Management S.L. (SKM) es una prestigiosa empresa española con más de 20 años de experiencia en el sector textil. Especializada en el diseño, fabricación e importación de prendas de punto, SKM se destaca por su compromiso con la calidad y la exclusividad, ofreciendo soluciones a medida para cada cliente. Fundada en 2003 por un equipo de profesionales con experiencia previa en el grupo Inditex, SKM ha logrado consolidarse como una referencia en el mercado gracias a su enfoque integral en el proceso de producción, desde el análisis y desarrollo de tendencias hasta el asesoramiento en la creación de colecciones.

La compañía se enorgullece de su metodología de trabajo que implica un trato personalizado para cada cliente, asegurando que cada colección sea exclusiva y se ajuste perfectamente a sus necesidades y expectativas. Este enfoque se extiende a través de todas las fases del proceso de producción, incluyendo el diseño, la prototipos, la confirmación de muestras, el control de calidad y la logística, garantizando así la entrega de productos de alta calidad.

SKM tiene su sede en Vigo, España, y su impacto en la industria textil se extiende más allá de las fronteras españolas, atendiendo a una clientela global que busca soluciones de moda innovadoras y personalizadas. Con un equipo altamente calificado y una sólida reputación en el mercado, Smart Knitwear Management S.L. sigue siendo un líder en el sector de prendas de punto, comprometido con la excelencia en cada paso de su proceso productivo.","['#bdb7aa', '#1f1f23', '#fdfdfd', '#917e72', '#575355']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/smart-km.com_.png
IBERCONSA,"A Riouxa, s/n, Teis, 36216 Vigo, Pontevedra, Spain",Spain,986 21 33 00,http://www.iberconsa.es/,https://maps.google.com/?cid=7581049844561177103,"Iberconsa se posiciona como líder mundial en la captura y producción de langostino austral y merluza congelada. Se distingue por ofrecer productos de máxima calidad, asegurando la frescura del pescado a través de procesos cuidadosamente controlados en sus buques factoría. Su enfoque se centra en la excelencia en cada etapa de producción para garantizar la satisfacción del cliente y el respeto por el medio ambiente.","['#5e6367', '#f8f6f1', '#1f3042', '#cbc8bb', '#938f89']",https://business-finder-assets-2024.s3.amazonaws.com/logos/iberconsa-2024-09-03.svg#852,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.iberconsa.es_.png
Erictega S.L.,"Av. de Madrid, 30, entresuelo, oficina 2 BIS, Sárdoma, 36204 Vigo, Pontevedra, Spain",Spain,986 24 77 72,http://www.erictega.es/,https://maps.google.com/?cid=3115131967761183821,"Erictega S.L. es una empresa que se enfoca en ofrecer soluciones de comunicación para empresas. Su enfoque principal parece estar en mejorar la experiencia de navegación de sus clientes a través de la implementación de políticas de cookies adecuadas, lo que sugiere un énfasis en el desarrollo web y la optimización digital. La documentación disponible no proporciona detalles extensivos sobre los servicios específicos o la historia de la empresa, pero destaca la importancia que le dan a la experiencia del usuario en línea.","['#fdfdfd', '#3f4c61', '#b5bfc5', '#151c23', '#637e9a']",https://business-finder-assets-2024.s3.amazonaws.com/logos/char-logo.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.erictega.es_.png
VIBRAL,"Estrada Fragosiño, 2, Sárdoma, 36214 Vigo, Pontevedra, Spain",Spain,986 42 47 33,https://vibral.net/,https://maps.google.com/?cid=16025047598918082678,"VIBRAL es una empresa con más de 60 años de experiencia en la reparación de motores, establecida inicialmente como una empresa auxiliar de la Fábrica de Motores del Astillero Barreras en 1962. Con el paso de los años, ha diversificado su actividad a otros productos y sectores, logrando una base de más de 500 clientes activos en diversos países europeos. Su especialización abarca rectificados, ajustes de motores, y mecanizados de precisión, además de la fabricación de diversos componentes en una amplia gama de materiales metálicos y no metálicos.

Un distintivo importante de VIBRAL es su compromiso con la calidad, el respeto a los recursos humanos, el medio ambiente, y la responsabilidad social empresarial. Estos valores son pilares fundamentales en su cultura de empresa y se reflejan en su enfoque hacia la satisfacción del cliente.

La empresa ha participado como patrocinadora en eventos importantes como la ""7th Manufacturing Engineering Society International Conference"" y es socia fundadora de la Federation Internationale de Rectifieurs et Reconstructeurs de Moteurs (FIRM), entre otras asociaciones relevantes en el sector. Además, VIBRAL ofrece una amplia gama de servicios que incluyen mecanizados, fabricación de piezas a medida, y ensayos no destructivos, reflejando su capacidad para atender requisitos complejos y específicos en los sectores de la mecánica y el rectificado de motores.","['#fbfdfe', '#868999', '#aaaebc', '#404463', '#d1d5e0']",https://business-finder-assets-2024.s3.amazonaws.com/logos/Vibral-logofecha-grande-600px.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/vibral.net_.png
TESOL GROUP,"Av. da Beiramar, 171, 36208 Vigo, Pontevedra, Spain",Spain,986 29 31 14,https://tesolgroup.com/,https://maps.google.com/?cid=14246380967045442285,"Tesol Group es una empresa especializada en el sector de la soldadura, centrada en la robótica y los automatismos, con más de 30 años de experiencia en fabricación de equipos, consultoría y formación. La compañía opera en diversos países como distribuidor de importantes marcas mundiales de material de soldadura y tiene un enfoque innovador en el desarrollo de equipos de alta tecnología para satisfacer las necesidades de sectores clave como automoción, naval, eólico, hidrocarburos, hidroeléctrico y aeronáutica. Tesol Group se esfuerza por mejorar el futuro tecnológico de la industria de la soldadura a través de soluciones prácticas y útiles para las empresas, incluyendo consultoría de soldadura, automatismo y proyectos llave en mano, así como un completo catálogo de productos.

Además, la empresa pone énfasis en la investigación y la innovación como ejes para plantear preguntas futuras y avanzar en el campo de la soldadura, adoptando tecnologías emergentes, como la integración de cobots (robots colaborativos), para brindar ventajas y aplicaciones prácticas en este ámbito. Esto se refleja en su compromiso con el empoderamiento femenino dentro de la industria y el desarrollo de guías prácticas para el mantenimiento de equipos de soldadura. 

Tesol Group se posiciona como una empresa líder en soldadura de última generación, destacando por su enfoque en la tecnología, innovación, y educación dentro de su sector.","['#48423e', '#afb0b3', '#f9f9fa', '#221e1c', '#767169']",https://business-finder-assets-2024.s3.amazonaws.com/logos/icon-catalogo.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/tesolgroup.com_.png
Uzal,"Av. de Castrelos, 15, Freijeiro, 36210 Vigo, Pontevedra, Spain",Spain,986 29 77 24,,https://maps.google.com/?cid=10318175497744838044,,,,
"Frigoríficos de Vigo, S.A.","Plaza Porto Pesqueiro, 4, 36202 Vigo, Pontevedra, Spain",Spain,986 44 71 00,https://frivigo.com/,https://maps.google.com/?cid=9047140228777092080,"Frigoríficos de Vigo es una destacada empresa ubicada en el puerto de Vigo, considerado uno de los principales puertos a nivel mundial. Desde su fundación en 1940, se ha especializado en el almacenamiento frigorífico y procesado de productos del mar, tanto frescos como congelados, ofreciendo a sus clientes servicios de alta calidad y eficiencia. La empresa cuenta con amplias instalaciones que incluyen salas de elaboración, grandes capacidades de almacenamiento en estanterías móviles, tres túneles de congelación con capacidad de hasta 20 toneladas por túnel y una fábrica de hielo en escamas con una producción de 200 toneladas al día. Adicionalmente, comercializan productos pesqueros, centrándose principalmente en cefalópodos.

Frigoríficos de Vigo se mantiene a la vanguardia del sector gracias a su continua presencia desde hace más de 70 años, siempre situándose en el puerto pesquero de Vigo, punto estratégico para el movimiento mercantil. La empresa está comprometida con la calidad, como lo demuestran sus diversas autorizaciones y certificaciones, incluidas las específicas para la exportación a mercados como Estados Unidos, Brasil y México. Este compromiso con la excelencia y la estratégica ubicación hacen de Frigoríficos de Vigo un socio esencial en la industria pesquera y alimentaria.","['#a78b61', '#fcfcfc', '#58140f', '#405f90', '#b0afae']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/frivigo.com_.png
ZF,"Cño. do Caramuxo, 35, 36213 Vigo, Pontevedra, Spain",Spain,986 29 31 29,http://www.zf.com/es,https://maps.google.com/?cid=16652256148370380135,"La empresa ZF Aftermarket Ibérica, S.L.U., con su amplia gama de operaciones en España, representa una parte esencial de la red global de ZF, un líder mundial en el mercado del aftermarket automotriz. Sus oficinas y plantas están estratégicamente ubicadas en varias regiones clave de España, incluyendo Alfaro en La Rioja, Barberá del Vallés y Barcelona en Cataluña, Boecillo en Valladolid, Corella y Egues en Navarra, Ermua y Lezama en Bizkaia, Mutilva Baja en Navarra, O Porriño en Pontevedra, Olvega en Soria, Pamplona en Navarra, San Fernando de Henares en Madrid, y Vigo en Pontevedra.

ZF ofrece una amplia gama de servicios y productos para vehículos, destacando por su compromiso con la calidad, la innovación y el desarrollo de tecnología avanzada en el sector automovilístico. La compañía se enfoca en proporcionar soluciones integrales que mejoren el rendimiento y la seguridad de los vehículos, ofreciendo al mercado una combinación de experiencia técnica avanzada con un profundo conocimiento del aftermarket automotriz.

Las operaciones de ZF en España reflejan su estrategia global de estar cerca de sus clientes y mercados, proporcionando soporte localizado y especializado a través de sus diversas ubicaciones. Esto incluye tanto servicios de posventa como soporte técnico y desarrollo de nuevos productos adaptados a las necesidades específicas del mercado español.

Con un enfoque en la innovación y sostenibilidad, ZF Aftermarket Ibérica S.L.U. se adelanta a las tendencias del mercado, ofreciendo soluciones que abordan desafíos futuros en movilidad, eficiencia energética y digitalización del sector automotriz. Esta visión hacia el futuro, combinada con una fuerte presencia local y un profundo conocimiento del mercado, posiciona a ZF como un socio clave en la industria automotriz de España y contribuye significativamente al crecimiento y desarrollo del sector en el país   .","['#fefefe', '#666666', '#d0d4db', '#2b5fb5', '#a0a5ad']",https://business-finder-assets-2024.s3.amazonaws.com/logos/ZF_logo_STD_Blue_3C.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.zf.com_es.png
Europacifico Alimentos Del Mar,"nº 2, Edificio Berbés, Puerto Pesquero Dársena, 4, 36202 Vigo, Pontevedra, Spain",Spain,986 44 70 57,http://www.europacifico.net/,https://maps.google.com/?cid=8632189868084506668,"Europacífico es una empresa especializada en la exportación de merluza austral y en la promoción de la pesca sostenible. Brinda soluciones personalizadas con productos del mar de alta calidad desde 1996. La compañía se distingue por su estabilidad en precios, gran variedad de productos, calidad garantizada, y compromiso con el medio ambiente. Ofrece productos ajustados a las necesidades del cliente, incluyendo formatos y envases a medida, y destacando por la innovación y sostenibilidad en sus procesos. Europacífico opera como un importante centro de I+D en SeaFood, enfocada en mantener la transparencia y simplicidad en sus operaciones, siendo la merluza austral su producto estrella.","['#bad5f1', '#6d8ba7', '#fafcfd', '#1e303c', '#3d5a74']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.europacifico.net_.png
"Embarbox | Cajas de cartón, de madera y de poliespán","Dársena 3, Naves 1-3 Apartado 1095, 36202 Vigo, Pontevedra, Spain",Spain,986 43 70 82,https://www.embarbox.com/,https://maps.google.com/?cid=8450225172057131566,"Embarbox se presenta como una referencia líder en la provisión de soluciones integrales de embalaje y suministros de almacén, enfatizando en productos de alta calidad para una diversa gama de necesidades de envío y almacenamiento. Con más de 40 años de experiencia, la empresa destaca su compromiso con la calidad, la innovación en su gama de productos y la puntualidad en las entregas, asegurando un servicio y atención al cliente excepcionales.

**Oferta de Productos y Servicios:**

- **Cajas de Cartón, Madera y Poliestireno:** Embarbox ofrece una amplia gama de cajas en diferentes materiales, adaptándose a las necesidades específicas de cada cliente, desde usos industriales hasta propósitos decorativos.
- **Contenedores y Palets:** Proporcionan soluciones resistentes y prácticas para el transporte y almacenamiento de mercancías, incluyendo contenedores de madera y cartón y palets de diversos materiales, tratados para cumplir con regulaciones internacionales.
- **Productos de Relleno y Protección:** La empresa suministra una variedad de accesorios y materiales de embalaje, como relleno de poliestireno expandido (perlas) y geles refrigerantes, para proteger los envíos durante el transporte.
- **Servicios de Personalización:** Embarbox brinda servicios de impresión para cajas de cartón y madera, permitiendo la personalización de embalajes que refuercen la identidad de marca de los clientes.

**Diferenciadores Clave:**

- **Calidad Garantizada:** Su enfoque en productos de máxima calidad posiciona a Embarbox como un referente en el mercado de soluciones de embalaje.
- **Experiencia Amplia:** Más de cuatro décadas de experiencia subrayan la capacidad de la empresa para proveer soluciones efectivas y eficientes en embalaje.
- **Innovación y Variedad:** La constante innovación y ampliación de su línea de productos garantizan soluciones de embalaje adecuadas para distintos sectores y necesidades.
- **Compromiso con el Cliente:** Embarbox destaca por su atención personaliz...","['#ddba78', '#594736', '#fcfbfa', '#9a8165', '#261c15']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-small.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.embarbox.com_.png
Bolsas Feijóo,"Est. do Freixo, 11, Sárdoma, 36214 Vigo, Pontevedra, Spain",Spain,617 47 23 77,https://www.bolsasfeijoo.com/,https://maps.google.com/?cid=11536908863313606500,"Bolsas Feijoo es una empresa especializada en la fabricación de bolsas y productos de embalaje comprometida con la sostenibilidad y el respeto al medioambiente. Cuentan con un equipo humano especializado encargado de asesorar sobre las mejores soluciones en materiales reciclables, diseño y resistencia adaptadas a diversos sectores como alimentación, moda, comercio, marcas, y merchandising. Gracias a su utilización de la última tecnología y su adaptación a las nuevas normativas europeas en sostenibilidad, ofrecen productos de calidad asegurando una atención al cliente excepcional. Bolsas Feijoo destaca por su enfoque en la calidad, la atención al cliente, y su compromiso con el medio ambiente.","['#ef9658', '#fbfafa', '#978e8e', '#b4352a', '#d1cbcc']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.bolsasfeijoo.com_.png
Pescaira,"Calle de, Rúa Marqués de Valterra, 33, Bajo, 36202 Vigo, Pontevedra, Spain",Spain,986 29 89 00,http://www.pescaira.com/,https://maps.google.com/?cid=15607594447346931901,"**PESCAIRA**: Un Comprometido Proveedor de Soluciones Industriales

**Historia y Compromiso**
Desde hace más de 30 años, PESCAIRA se ha establecido como un proveedor industrial de alta calidad, manteniendo un fuerte compromiso con la excelencia y la satisfacción del cliente. La empresa ha demostrado una dedicación inquebrantable a mantener altos estándares de calidad en todos sus productos y servicios.

**Innovación y Desarrollo**
Con un enfoque claro en la ingeniería, diseño y desarrollo, PESCAIRA ha sentado las bases para innovaciones significativas dentro del sector industrial. Diseñan y fabrican útiles de elevación de cargas customizados que satisfacen las necesidades específicas de múltiples sectores, garantizando una larga vida útil y máxima fiabilidad.

**Soluciones a Medida**
Una de las fortalezas de PESCAIRA radica en su capacidad para ofrecer fabricación personalizada. La empresa proporciona soluciones específicas adaptadas a los requisitos de cada cliente, incluyendo balancines, ganchos, horquillas de elevación, pinzas especiales, implementos para carretillas, entre otros equipos especializados para la industria.

**Seguridad y Cumplimiento**
PESCAIRA pone un énfasis particular en la seguridad de sus soluciones. Ofrecen un completo servicio tanto de revisión como de homologación de útiles que garantiza el mantenimiento y óptimo funcionamiento de sus elementos de elevación de cargas, cumpliendo con la normativa vigente y asegurando la máxima seguridad para los usuarios.

**Compromiso con el Futuro**
El lanzamiento de su nuevo catálogo en 2024 demuestra el compromiso de PESCAIRA con el futuro, presentando ideas innovadoras y expresando su compromiso hacia la excelencia y el desarrollo continuo.

**Conclusión**
PESCAIRA se destaca como una empresa líder en la provisión de soluciones industriales especializadas, enfocadas en la calidad, seguridad y personalización. Su trayectoria de más de tres décadas en el mercado refleja su compromiso con la satisfacció...","['#1f1c18', '#fafaf9', '#be9a3e', '#635840', '#9a9897']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-pescaira-definitivo2.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.pescaira.com_.png
Laboratorio Poutás,"Calle, Rúa Policarpo Sanz, 27, 1º, 36202 Vigo, Pontevedra, Spain",Spain,986 22 15 15,,https://maps.google.com/?cid=4043784060684251346,,,,
EDIPREM - Ediciones y Producciones Empresariales S.A.,"Rúa do Areal, 8, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,986 49 32 78,http://www.ediprem.es/,https://maps.google.com/?cid=18325279258062992587,"Ediprem se presenta como una empresa líder en el mercado de regalos promocionales y publicitarios personalizados, con una trayectoria de más de 30 años. Su oferta de servicios abarca desde la atención personalizada hasta el diseño gratuito, destacándose por poseer uno de los catálogos más completos de productos promocionales en España. Ediprem se compromete a ayudar a las marcas a destacar y conectar con su público de manera única, ofreciendo una amplia variedad de regalos personalizados que van desde artículos de oficina y de hogar hasta tecnología y complementos de moda, todos fabricados con los mejores materiales y personalizables con la máxima calidad.

La empresa atiende a una diversa gama de clientes, desde pequeñas empresas locales hasta grandes corporaciones nacionales, y su equipo de expertos en marketing y diseño está dedicado a ayudar a las empresas a crear campañas de regalos promocionales efectivas y ajustadas a sus presupuestos. Ediprem pone un énfasis particular en la calidad y el diseño atractivo de sus productos, asegurando que estos sean herramientas eficaces para mejorar la visibilidad de la marca y fidelizar a los clientes.

En resumen, Ediprem se establece firmemente en el sector con una sólida oferta de valor basada en la experiencia, la calidad de sus productos personalizados y la atención al detalle, todo dirigido a potenciar la presencia de marca y establecer relaciones duraderas con clientes y socios comerciales.","['#e1e0df', '#403e3e', '#fbfbfb', '#c0b282', '#0d0d0d']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.ediprem.es_.png
Pepa Medina,"Avda. del Aeropuerto, nº 90, Lavadores, 36206 Vigo, Pontevedra, Spain",Spain,986 23 88 88,https://pepamedina.es/,https://maps.google.com/?cid=16155583093413872202,"Pepa Medina es una empresa ubicada en Vigo dedicada a la oferta de regalos personalizados para empresas. Se especializan en una variedad de productos que incluyen ropa laboral, merchandising, equipamiento deportivo, y cestas de regalo. La compañía utiliza plataformas como WordPress y WooCommerce para gestionar su presencia online y su tienda, lo que subraya su enfoque moderno y digitalizado hacia el negocio de regalos corporativos. A través de su sitio web, ofrecen un catálogo detallado de productos y servicios, enfatizando la personalización como un valor central de su oferta. Es una empresa que busca satisfacer las necesidades de regalos y promocionales de las corporaciones, proporcionando soluciones creativas y personalizadas para una amplia gama de requisitos empresariales.","['#ca2d3b', '#fdfdfd', '#131314', '#5c5d5f', '#ad9d9a']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-exclusivas-medina.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/pepamedina.es_.png
Iberconsa Seafood Processing (ISP-Bouzas),"Muelle Reparaciones de, 36208 Vigo, Pontevedra, Spain",Spain,986 67 62 03,http://www.iberconsa.es/,https://maps.google.com/?cid=13717485269718264326,"Iberconsa se posiciona como una empresa líder a nivel mundial en la captura y producción de langostino austral y merluza congelada. La empresa se destaca por ofrecer productos del mar de máxima calidad, garantizando la frescura en cada etapa de su proceso de producción. Su enfoque en la calidad y la garantía de frescura de sus productos convierte a Iberconsa en un referente en el sector de distribución de productos congelados del mar.","['#928f89', '#1f3142', '#ccc8bb', '#f8f7f2', '#5c6266']",https://business-finder-assets-2024.s3.amazonaws.com/logos/iberconsa-2024-09-03.svg#852,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.iberconsa.es_.png
S.A.U. DE PESCADOS Y MARISCOS PEIXEMAR,"Puerto pesquero del Berbés, dársena 4 S/N, 36202 Vigo, Pontevedra, Spain",Spain,986 82 84 00,http://masdelmar.es/,https://maps.google.com/?cid=7286330047965112591,"El archivo proporcionado no contiene información directamente relacionada con el resumen de una empresa. En su lugar, se muestra una página web indicando que el ""Servicio desactivado"", señalando que el dominio se encuentra temporalmente inactivo y sugiere contactar con el proveedor para más información. 

Sin datos específicos sobre la empresa en cuestión, no es posible generar un resumen profesional y conciso. Si tienes más información o documentos que describan directamente la empresa, por favor, súbelos para que pueda asistirte adecuadamente.","['#c8ac7f', '#fefefe', '#7b6236', '#d7c29c', '#ab8f62']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/masdelmar.es_.png
CNVigo - Centro de negocios de Vigo,"Praza de Compostela, 23, 36201 Vigo, Pontevedra, Spain",Spain,986 44 32 72,https://centrodenegociosvigo.es/,https://maps.google.com/?cid=12821813635953701661,"El Centro de Negocios de Vigo, con más de 25 años de experiencia, ofrece servicios profesionales de alta calidad para apoyar a profesionales y empresas en su crecimiento y gestión diaria. Proporciona una infraestructura completa en una ubicación privilegiada en la Alameda de Vigo, permitiendo a los clientes pagar solo cuando necesitan utilizar los servicios. Sus servicios incluyen: 

- **Oficinas flexibles:** Se pueden alquilar por horas, días o meses, con precios desde 6€/hora, asegurando una solución ajustada a necesidades específicas.
  
- **Domiciliación de empresas y autónomos (Oficina virtual):** Ofrece una dirección de prestigio para la papelería y documentación empresarial, manejo de correspondencia, asistencia secretarial y gestión de agendas, con tarifas desde 1€/día.

Este centro se posiciona como una opción ideal para aquellas empresas y profesionales que buscan soluciones eficaces y adaptadas a sus necesidades, destacándose por su compromiso con la calidad y el apoyo al crecimiento empresarial.","['#7a827c', '#fdfcfc', '#4e574b', '#c6c1b8', '#252117']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo.jpg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/centrodenegociosvigo.es_.png
Vigaldis,"Calle, Rúa de Severino Cobas, 65, Lavadores, 36214 Vigo, Pontevedra, Spain",Spain,986 28 16 09,,https://maps.google.com/?cid=9685316694243140495,,,,
Marsan Transformaciones Superficiales,"Parque Tecnológico y Logístico de Vigo Calle B, Parcela 10.09, 36314 Vigo, Pontevedra, Spain",Spain,986 27 08 04,http://www.grupomarsan.com/,https://maps.google.com/?cid=4221336119139434361,"Grupo Marsan es una empresa destacada en el sector de revestimientos superficiales para automoción, concentrándose en la protección, funcionalidad y aspecto de sus productos. Fundada en 1951 como una pequeña empresa familiar especializada en la estampación de piezas metálicas, Marsan ha evolucionado hacia la excelencia operativa, con más de seis décadas de experiencia y conocimiento. Ofrece servicios integrales a sus clientes y accionistas generando valor significativo y estableciendo referencias globales en el sector del coating. Entre sus valores principales destacan la innovación, seguridad, sostenibilidad y compromiso, características que posicionan a Marsan como socio estratégico en revestimientos funcionales para protección.

La compañía proporciona una amplia gama de servicios, incluyendo transformación metálica, ensamblaje de componentes y logística de entregas, y se caracteriza por su apuesta continua por la innovación tecnológica, como se demuestra en proyectos como el MPCm (Marsan Process Control Management), una solución MES diseñada para optimizar el control del proceso productivo.

Con un compromiso firme con la expansión internacional y el desarrollo sostenible, Marsan ha sido pionera en la instalación de placas solares en su planta regional Sur Europa, y continúa con su expansión global, abriendo nuevas instalaciones en México.

En resumen, Grupo Marsan se destaca por su trayectoria excepcional en el sector de transformaciones superficiales, demostrando un fuerte compromiso con la calidad, innovación y sostenibilidad.","['#3b3c3e', '#fcfdfd', '#a5aaae', '#466989', '#121211']",https://business-finder-assets-2024.s3.amazonaws.com/logos/marsan_sticky_menu_logo.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.grupomarsan.com_.png
Wanamos,"R. do Ecuador, 58, 6°, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 44 70 07,https://www.wanamos.com/,https://maps.google.com/?cid=14132112771116229361,"Wanamos es una empresa altamente especializada en la comercialización de regalos de empresa y artículos promocionales personalizados. Cuenta con un amplio catálogo de más de 35.000 referencias disponibles para cubrir las necesidades de publicidad y promoción de cualquier tipo de cliente, desde libretas, agendas con logotipo, porta bolígrafos hasta relojes y memorias USB, todos personalizables con el logotipo o mensaje de marca. Se destacan por ofrecer productos enfocados en proteger la salud, higiene y bienestar de los clientes y empleados, evidenciando una preocupación por el cuidado integral de sus stakeholders.

La empresa posee una sólida experiencia en técnicas de impresión y personalización de artículos promocionales, incluyendo la serigrafía, sublimación, grabado láser, y tampografía, lo que les permite imprimir o grabar logotipos y mensajes de manera eficaz sobre una gran variedad de superficies y materiales. Wanamos va más allá de ser solo un proveedor de regalos promocionales; es un verdadero socio estratégico que ofrece soluciones integrales de merchandising y promoción, capaces de adaptarse a las necesidades de marketing de cualquier empresa, sin importar su tamaño o sector. Su enfoque se centra en crear valor a través de la personalización, haciendo que las marcas destaquen en un entorno cada vez más competitivo. Además, ofrecen la posibilidad de solicitar presupuestos en línea, garantizando una respuesta rápida y efectiva a las necesidades de sus clientes.

La versatilidad de su oferta se refleja en la diversidad de sus productos, que incluyen desde artículos promocionales para eventos empresariales y ferias hasta regalos publicitarios orientados a la oficina que ayudan a mantener la imagen corporativa en cualquier contexto. Este enfoque holístico, que combina la calidad de sus productos con un servicio de atención al cliente excepcional, sitúa a Wanamos como un líder en el sector de regalos y artículos promocionales en España.","['#d8dbe3', '#64a894', '#fcfcfc', '#52586a', '#abb9b3']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-wanamos.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.wanamos.com_.png
Dinak,"Camiño Laranxo, 19, Teis, 36216 Vigo, Pontevedra, Spain",Spain,986 45 25 26,http://www.dinak.com/,https://maps.google.com/?cid=9477014778121916603,"DINAK es una empresa destacada con más de cuarenta años de experiencia, dedicada al diseño y fabricación de soluciones para la ventilación y evacuación de gases. Se posiciona como líder en brindar soluciones adaptadas a las necesidades de viviendas, sectores terciarios e industriales, respaldando sus productos con altas certificaciones de calidad y prestaciones para garantizar durabilidad y eficacia. El equipo técnico y de expertos de DINAK ofrece análisis y desarrollo integral de proyectos, facilitando cálculos y mediciones para ajustarlos a la realidad de las obras, junto con un servicio de apoyo integral. Entre su gama de productos y servicios, se destacan soluciones orientadas a la biomasa, evidenciando así su compromiso con la innovación y el cuidado del medio ambiente.

DINAK destaca también por el lanzamiento de software especializado, como VentBOM y DINAKALC, dirigido al diseño y la cotización de proyectos de conductos y soluciones específicas como conductos para cocinas industriales. A través de estos desarrollos, DINAK demuestra su capacidad de innovación y su orientación hacia la eficiencia y la mejora constante en el ámbito de la ventilación y evacuación de humos.

Adicionalmente, DINAK se involucra activamente en proyectos destacados a nivel internacional, ofreciendo soluciones como chimeneas autoportantes de doble pared aislada, sistemas de ventilación, y chimeneas exteriores resistentes, adaptadas a las necesidades técnicas y circunstancias de ejecución requeridas por cada proyecto. Su presencia global se evidencia en la realización de 18.000 estudios y proyectos al año y la disponibilidad de sus productos en más de 40 países, asegurando una producción continua durante 360 días al año .","['#323333', '#fcfcfc', '#b4b8b5', '#636764', '#1a1817']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.dinak.com_.png
Serink Vigo,"Baixada Castelo, 70, Sótano -2, 36214 Vigo, Pontevedra, Spain",Spain,986 06 95 99,http://www.serink.es/,https://maps.google.com/?cid=291846078892136427,"Serink es una empresa situada en Galicia especializada en la personalización de productos a través de diversas técnicas como serigrafía, sublimación, bordado personalizado y DTF (Direct Transfer Film). Ofrecen un servicio integral que va desde la personalización de camisetas, sudaderas y regalos publicitarios hasta la realización de bordados a mano y serigrafía, abarcando una amplia variedad de opciones para negocios, eventos especiales y detalles únicos. 

Con más de 15 años de experiencia en serigrafía y un equipo capacitado en técnicas avanzadas, Serink se dedica a convertir ideas en realidades materiales, garantizando calidad y diseños creativos. Entre su oferta destacan la personalización de ropa deportiva, sudaderas, camisetas, tote bags y una variedad de regalos publicitarios personalizados. 

Serink se posiciona como un socio estratégico para aquellos que buscan productos personalizados de alta calidad, ofreciendo soluciones a medida para clubs deportivos, empresas, eventos y más. Además, se enfatiza su disposición para trabajar estrechamente con los clientes, ayudándolos a contar sus historias a través de productos únicos y creativos. La empresa goza de excelentes reseñas, destacando su profesionalismo, calidad de los productos y atención al cliente.","['#2e292b', '#fcfafb', '#060505', '#c33870', '#aa8e9b']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-serink-450x100-1.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.serink.es_.png
